name,data
GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F11),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F11)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F11) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F11)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F12),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F12)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F12) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F12)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F13),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F13)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F13) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F13)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG - SOLAR),"{""klien"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG - SOLAR)"",""alamat"":""LOT 15-19, LORONG 3A, KAWASAN PERUSAHAAN CHERAS JAYA,\nBATU 9, JALAN BALAKONG,\n43200 CHERAS\nSELANGOR"",""ampere"":""1000A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG - SOLAR)"",""giliran_no"":""1"",""company_name"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG - SOLAR)"",""default_remark"":""To provide schematic diagram.\nLoading: 420/421/411V, 431/413/412A, PF: -0.995."",""default_remarks"":[""To provide schematic diagram.\nLoading: 420/421/411V, 431/413/412A, PF: -0.995."",""Tiada"",""Tiada""]}"
GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG),"{""klien"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG)"",""alamat"":""LOT 15-19, LORONG 3A, KAWASAN PERUSAHAAN CHERAS JAYA,\nBATU 9, JALAN BALAKONG,\n43200 CHERAS\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG)"",""default_remark"":""MSB: ACB for capacitor bank was off, to check.\nVCB/TX Room: To provide schematic diagram.\nMSB Room: To provide schematic diagram."",""default_remarks"":[""MSB: ACB for capacitor bank was off, to check.\nVCB/TX Room: To provide schematic diagram.\nMSB Room: To provide schematic diagram."",""Tiada"",""Tiada""]}"
GUPPY PLASTIC INDUSTRIES SDN BHD (KARUNMAS),"{""klien"":""GUPPY PLASTIC INDUSTRIES SDN BHD (KARUNMAS)"",""alamat"":""LOT 37651, JALAN KARUNMAS, TAMAN DESA KARUNMAS,\n43000 BALAKONG\nSELANGOR"",""ampere"":""75A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GUPPY PLASTIC INDUSTRIES SDN BHD (KARUNMAS) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GUPPY PLASTIC INDUSTRIES SDN BHD (KARUNMAS)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GUPPY PLASTIC INDUSTRIES SDN. BHD (BALAKONG),"{""klien"":""GUPPY PLASTIC INDUSTRIES SDN. BHD (BALAKONG)"",""alamat"":""LOT 15-19, LORONG 3A, KAWASAN PERUSAHAAN CHERAS JAYA,\nBATU 9, JALAN BALAKONG,\n43200 CHERAS\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""GUPPY PLASTIC INDUSTRIES SDN BHD (BALAKONG) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GUPPY PLASTIC INDUSTRIES SDN. BHD (BALAKONG)"",""default_remark"":""MSB: ACB for capacitor bank was off, to check.\nVCB/TX Room: To provide schematic diagram.\nMSB Room: To provide schematic diagram."",""default_remarks"":[""MSB: ACB for capacitor bank was off, to check.\nVCB/TX Room: To provide schematic diagram.\nMSB Room: To provide schematic diagram."",""Tiada"",""Tiada""]}"
GUPPY PLASTIC INDUSTRIES SDN. BHD. (KARUNMAS),"{""klien"":""GUPPY PLASTIC INDUSTRIES SDN. BHD. (KARUNMAS)"",""alamat"":""LOT 37651, JALAN KARUNMAS, TAMAN DESA KARUNMAS,\n43000 BALAKONG\nSELANGOR"",""ampere"":""75A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GUPPY PLASTIC INDUSTRIES SDN. BHD. (KARUNMAS) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GUPPY PLASTIC INDUSTRIES SDN. BHD. (KARUNMAS)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
HIAP HUAT CHEMICALS SDN BHD,"{""klien"":""HIAP HUAT CHEMICALS SDN BHD"",""alamat"":""LOT PT 159462 ( HSD 165823 ) JALAN SUNGAI CHANDONG\n33/KS11, TAMAN PERINDUSTRIAN PULAU INDAH FASA 3\nMUKIM KLANG, KLANG BANDAR DIRAJA\n42920 KLANG\nSELANGOR"",""ampere"":""600A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""HIAP HUAT CHEMICALS SDN BHD"",""giliran_no"":""1"",""company_name"":""HIAP HUAT CHEMICALS SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
HOKTO MALAYSIA SDN BHD,"{""klien"":""HOKTO MALAYSIA SDN BHD"",""alamat"":""LOT 34652 & 34653, PERSIARAN TEKNOLOGI 4,\nTECHPARK@ENSTEK\n71760 BANDAR BARU ENSTEK\nNEGERI SEMBILAN"",""ampere"":""150A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""HOKTO MALAYSIA SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""HOKTO MALAYSIA SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
